STATEFIPS,STATE,zipcode,Returns_pct1,Returns_pct2,Returns_pct3,Returns_pct4,Returns_pct5,Returns_pct6,total
36,NY,10044,27,17.37,15.02,10.33,19.25,11.03,4260
36,NY,10065,14.89,12.99,13.12,10.2,20.53,28.26,15780
36,NY,10069,12.8,9,8.3,6.57,20.07,43.25,2890
36,NY,10075,15.34,11.36,13.92,11.08,22.09,26.21,14080
36,NY,10119,17.24,10.34,10.34,0,17.24,44.83,290
36,NY,10128,17.88,13.05,14.93,10.93,19.73,23.49,32950
36,NY,10162,13.33,6.67,8,8,25.33,38.67,750
36,NY,10165,0,40,0,0,20,40,100
36,NY,10170,18.52,11.11,14.81,0,18.52,37.04,270
36,NY,10280,11.43,8.57,10.95,9.52,27.14,32.38,4200
36,NY,10282,9.52,6.06,5.63,5.63,15.58,57.58,2310
36,NY,10301,35.9,21.63,15.04,9.29,13.44,4.7,18080
36,NY,10302,39.85,23.02,14.36,9.03,11.88,1.86,8080
36,NY,10303,43.39,24.16,13.97,8.38,9.37,0.74,12170
36,NY,10304,41.78,22.41,12.17,7.71,11.41,4.51,19720
36,NY,10305,34.72,21.5,14.72,10.57,15.44,3.06,19300
36,NY,10306,30.74,19.11,15.01,11.18,19.08,4.88,26840
36,NY,10307,27.54,16.77,13.08,10.92,22.62,9.08,6500
36,NY,10308,27.75,17.62,14.46,12.48,22.47,5.21,13620
36,NY,10309,27.33,17,13.87,11.27,23.13,7.4,15000
36,NY,10310,38.13,20.33,13,9.34,15.36,3.84,11460
36,NY,10312,26.89,17.89,14.51,11.91,22.75,6.06,29230
36,NY,10314,30.27,20,14.83,11.27,19.12,4.52,40740
36,NY,10451,52.51,28.21,11.72,4.38,2.96,0.21,23290
36,NY,10452,58.98,26.88,9.92,2.65,1.52,0.06,36200
36,NY,10453,61.91,25.77,8.4,2.39,1.44,0.08,37600
36,NY,10454,61.49,26.33,8.33,2.21,1.52,0.13,15840
36,NY,10455,57.93,27.56,10.01,2.81,1.69,0,17780
36,NY,10456,60.71,27.16,8.44,2.38,1.31,0,40390
36,NY,10457,61.12,25.92,8.65,2.75,1.44,0.12,32720
36,NY,10458,57.75,26.54,10.11,3.26,2.21,0.12,34320
36,NY,10459,57.71,27.87,9.35,3.1,1.97,0,21280
36,NY,10460,58.12,27.47,9.16,3.18,1.95,0.12,25120
36,NY,10461,35.62,25.78,17.27,9.46,10.5,1.37,24090
36,NY,10462,40.7,27.61,17.59,7.87,5.82,0.4,39510
36,NY,10463,36.51,22.45,15.09,9.07,12.64,4.24,33940
36,NY,10464,25.81,18.43,16.59,12.44,19.35,7.37,2170
36,NY,10465,31.52,22.39,16.9,11.07,15.48,2.64,19700
36,NY,10466,45.02,28.68,13.47,6.57,5.89,0.37,32740
36,NY,10467,49.6,28.54,13.06,4.93,3.65,0.22,44640
36,NY,10468,56.7,26.28,10.63,3.79,2.44,0.17,35660
